species	FGF1	FGF2	FGF3	FGF4	FGF5	FGF6	FGF7	FGF8	FGF9	FGF10	FGF11	FGF12	FGF13	FGF14	FGF16	FGF17	FGF18	FGF19	FGF20	FGF21	FGF22	FGF23
Sperm whale	Manual	Manual	MappingToKillerW	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Manual	Manual	MappingToKillerW	Manual	Manual	Manual	Manual	Manual
Baiji	Manual	XP_007116207.1	MappingToKillerW	MappingToKillerW	XP_007114455.1	XP_007117100.1	XP_007109859.1	XP_007116166.1	XP_007112668.1	XP_007129823.1	MappingToKiller+XP_007100718.1	Manual	XP_007106883.1	MappingToKillerW	XP_007119275.1	XP_007126351.1	MappingToKillerW	XP_007123752.1	Manual	XP_007112447.1	MappingToKillerW+XP_007131041.1	MappingToKillerW
Finless porpoise	XP_007466916.1	XP_007470796.1	XP_007472169.1	XP_007466032.1	XP_007447626.1	XP_007469506.1	XP_007455603.1	XP_007470430.1	XP_007464562.1	XP_007461803.1	XP_007457828.1	XP_007467867.1	Manual	XP_007461585.1	XP_007447418.1	XP_007450615.1	XP_007465594.1	Manual	XP_007459974.1	XP_007463384.1	Manual	XP_007469576.1
Killer whale	MappingToKillerW	MappingToKillerW	MappingToKillerW	N/A	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW	MappingToKillerW
Bottlenose dolphin	XP_004280268.1	XP_004265254.1	XP_004278098.1	XP_004278097.1	XP_004280209.1	XP_004279064.1	XP_004281345.1	XP_004268529.1	XP_004281838.1	XP_004265993.1	XP_004267268.1	XP_004278806.1	XP_004278766.1	Manual	XP_004280484.1	XP_004270673.1	XP_004272046.1	XP_004278183.1	XP_004277218.1	XP_004271124.1	XP_004286872.1	XP_004279179.1
Sheep	XP_004313067.1	MappingToKillerW	MappingToKillerW	Manual+MappingToKillerW	AGF93793.1	ENSTTRT00000011086	XP_004327107.1	XP_004319665.1	XP_004320792.1	MappingToKillerW	MappingToKillerW	MappingToKillerW	Manual	ENSTTRT00000006794	XP_004330747.1	XP_004327056.1	XP_004310829.1	ENSTTRT00000000066	ENSTTRT00000012550	XP_004314920.1	MappingToKillerW	MappingToKillerW
Cow	XP_004008958.1	NP_001009769.1	XP_011972955.1	N/A	N/A	XP_004006999.1	NP_001009235.2	XP_004020370.1	XP_004012210.1	NP_001009230.1	XP_004012705.1	N/A	XP_004022356.1	XP_004012275.1	N/A	XP_004004255.1	N/A	N/A	XP_004021784.1	N/A	XP_004008811.1	N/A
Pig	NP_776480.1	NP_776481.1	XP_002699485.1	NP_001035695.2	NP_001071479.2	NP_001179329.1	NP_001180060.1	NP_001193607.1	NP_001232855.1	NP_001193255.1	NP_001179868.1	XP_005201613.1	XP_005227592.1	NP_001193761.1	NP_001179706.1	N/A	NP_001069475.1	XP_010819574.1	NP_001179094.1	XP_005219543.1	NP_001192790.1	XP_002687926.1
Horse	XP_003124058.1	N/A	XP_003122469.1	XP_003122466.1	XP_003129415.1	XP_001928841.1	N/A	N/A	NP_998966.1	XP_003133972.1	XP_003483147.1	N/A	N/A	N/A	XP_001928875.1	XP_001926648.1	XP_003134104.1	XP_003122468.1	AEK33403.1	NP_001156882.1	N/A	XP_001926560.1
Ferret	NP_001157358.1	NP_001182150.1	N/A	N/A	XP_001492606.2	XP_001494385.1	NP_001157355.1	XP_001916653.2	XP_005601151.1	XP_001498159.1	XP_001918183.1	XP_001500309.1	N/A	XP_003363267.1	N/A	N/A	N/A	N/A	XP_001488279.2	XP_001489202.1	N/A	XP_001491469.1
Dog	XP_004744780.1	XP_004748022.1	N/A	N/A	XP_004791914.1	XP_004778336.1	XP_004751411.1	XP_004749800.1	XP_004774396.1	XP_004737970.1	XP_004760359.1	XP_004745329.1	XP_004773700.1	XP_004746126.1	XP_004777170.1	XP_004763378.1	XP_004737668.1	XP_004759675.1	XP_004777513.1	XP_004767451.1	XP_004778189.1	XP_004778337.1
Cat	XP_849274.1	XP_003432529.2	N/A	XP_540801.2	NP_001041594.1	XP_543862.1	NP_001003237.1	ENSCAFT00000015770	XP_849938.1	XP_005619394.1	XP_849741.1	XP_535845.2	XP_003435586.1	XP_003433117.1	XP_549094.2	XP_849590.1	XP_854425.1	XP_540802.3	XP_005630100.1	XP_541510.2	XP_855230.2	XP_854580.1
Megabat	XP_011281003.1	XP_011279999.1	N/A	N/A	NP_001108018.1	XP_003988334.1	XP_006932596.1	XP_011285831.1	XP_003980306.1	XP_003981474.2	XP_003996220.1	XP_003991837.1	XP_006944108.1	XP_011279092.1	XP_004000709.1	XP_003984765.2	XP_011283804.1	XP_003993813.1	N/A	XP_003997577.1	XP_011286573.1	XP_011282059.1
Microbat	XP_011365755.1	N/A	N/A	XP_011385646.1	XP_011358892.1	XP_011360103.1	XP_011353387.1	XP_011377185.1	XP_011358527.1	XP_011372186.1	XP_011357142.1	XP_011379760.1	XP_011375905.1	XP_011361496.1	XP_011383253.1	XP_011364989.1	N/A	N/A	XP_011363573.1	N/A	XP_011373519.1	N/A
Human	XP_006086476.1	N/A	N/A	XP_006098143.1	XP_006084588.1	XP_006096125.1	XP_006086049.1	XP_006109971.1	XP_006085580.1	XP_006095446.1	XP_006105554.1	XP_006084828.1	N/A	XP_006086990.1	XP_006082895.1	XP_006102995.1	N/A	XP_006098142.1	N/A	XP_006107055.1	XP_006101871.1	N/A
Chimpanzee	NP_001138364.1 	NP_001997.5	NP_005238.1	NP_001998.1	NP_004455.2	NP_066276.2	NP_002000.1	NP_149353.1	 NP_002001.1 	NP_004456.1	NP_004103.1	NP_066360.1	NP_001132972.1	NP_787125.1	NP_003859.1	NP_003858.1	NP_003853.1	NP_005108.1	NP_062825.1	NP_061986.1	NP_065688.1	NP_065689.1
Gorilla	XP_001153487.1	NP_001103711.1	XP_522092.2	XP_001173970.1	XP_526572.2	XP_001157123.1	XP_001167319.1	N/A	XP_001150741.1	XP_009447469.1	XP_001170288.1	XP_526425.1	NP_001267400.1	XP_009425471.1	XP_529049.2	XP_009453237.1	N/A	XP_003952007.1	XP_001140918.1	XP_524333.1	N/A	XP_001157070.1
Orangutan	XP_004042782.1	XP_004040414.1	XP_004051747.1	XP_004051746.1	XP_004038928.1	XP_004052574.1	XP_004056212.1	XP_004050048.1	XP_004054293.1	XP_004058929.1	ENSGGOT00000011868	XP_004038265.1	ENSGGOT00000009929	ENSGGOT00000006850	XP_004064472.1	XP_004046787.1	XP_004043036.1	XP_004051745.1	N/A	XP_004061150.1	N/A	XP_004052573.1
Gibbon	NP_001127073.1	XP_002815172.1	XP_002821457.1	XP_002821458.1	XP_002814964.1	XP_002822832.1	NP_001125621.1	N/A	XP_002824119.1	XP_002815587.1	N/A	ENSPPYT00000016766	XP_009233591.1	XP_009247040.1	XP_002831878.1	XP_003777265.1	XP_002816235.1	XP_002821459.1	XP_002818879.1	XP_002829565.1	XP_009250794.1	N/A
Olive baboon	XP_003266601.1	XP_003271404.2	N/A	N/A	XP_003265852.1	XP_003273750.1	XP_003266948.1	XP_003255146.1	XP_003273151.1	XP_003277806.1	XP_003274663.1	XP_003256712.1	ENSNLET00000003845	XP_003270201.1	XP_003269036.1	XP_003272882.1	N/A	XP_003278071.1	XP_003256750.1	XP_003269795.1	XP_003277020.1	XP_003273749.1
Macaque	NP_001162557.1	XP_003899210.1	XP_003909469.1	XP_003909470.1	XP_003898759.1	XP_003905873.1	XP_003900962.1	XP_003904203.1	XP_003913713.1	XP_003899695.1	XP_003912303.1	N/A	N/A	N/A	XP_003917954.1	XP_003902555.1	XP_003900561.1	XP_003909471.1	XP_003902507.1	N/A	XP_003914586.1	XP_003905872.2
Marmoset	XP_001095895.1	XP_001099284.1	NP_001181089.1	XP_001100747.1	XP_001089996.1	XP_001099809.1	NP_001181542.1	N/A	N/A	NP_001180879.1	XP_001108934.1	NP_001180935.1	N/A	ENSMMUT00000004072	NP_001181044.1	N/A	N/A	XP_001100825.1	XP_001094679.1	N/A	NP_001180840.1	NP_001181066.1
Bushbaby	XP_002744341.1	N/A	XP_002755690.1	XP_002755689.1	XP_002745720.1	XP_002752278.1	XP_002753515.1	N/A	XP_002748943.1	XP_002745043.1	XP_002748027.2	XP_002758249.1	ENSCJAT00000020076	N/A	N/A	N/A	XP_002744587.1	N/A	XP_002756951.1	ENSCJAT00000000555	XP_002761561.1	XP_002752281.1
Mouse	XP_003782135.1	XP_003795568.1	N/A	XP_003798338.1	XP_003790103.1	XP_003796472.1	XP_003784392.1	XP_003787288.1	XP_003796755.1	XP_003793017.1	XP_003791199.1	XP_003792746.1	N/A	N/A	XP_003800505.1	XP_003794036.1	XP_003781995.1	XP_003798429.1	XP_003797703.1	XP_003801603.1	XP_003788722.1	XP_003796532.1
Rat	NP_034327.1	NP_032032.1	NP_032033.2	NP_034332.2	NP_034333.1	NP_034334.1	NP_032034.1	NP_001159833.1	NP_038546.2	NP_032028.1	NP_034328.1	NP_898887.1	NP_001277343.1	NP_997550.1	NP_085117.2	NP_032030.1	NP_032031.1	NP_032029.1	NP_085113.2	NP_064397.1	NP_075793.1	NP_073148.1
Squirrel	NP_036978.1	NP_062178.1	NP_570830.1	XP_006230702.1	NP_071547.1	NP_571983.1	NP_071518.1	XP_006231499.1	NP_037084.1	NP_037083.1	NP_570829.1	NP_570827.1	N/A	ENSRNOT00000041551	NP_068639.1	NP_062071.1	NP_062072.1	NP_570109.1	NP_076451.1	NP_570108.1	NP_570107.1	NP_570110.1
Guinea pig	XP_005324284.1	N/A	XP_005333590.1	XP_005333370.1	XP_005339760.1	XP_005334068.1	XP_005316607.1	XP_005333709.1	XP_005338663.1	XP_005319712.1	XP_005332850.1	XP_005338479.1	N/A	XP_005317065.1	XP_005337551.1	XP_005329352.1	XP_005334181.1	XP_005333591.1	XP_005330850.1	XP_005336701.1	XP_005331994.1	XP_005334067.1
Rabbit	XP_005007031.1	N/A	XP_003468173.1	XP_003468371.1	XP_003477717.1	XP_003463315.1	XP_003471911.1	XP_003474997.1	N/A	XP_003470241.1	XP_003466306.1	XP_003477139.1	N/A	XP_003477638.1	XP_003471023.1	XP_003479393.1	XP_003473380.2	N/A	N/A	XP_003465485.1	XP_003460924.1	XP_003463346.1
Armadillo	NP_001164959.1	XP_002717284.1	N/A	N/A	XP_008265908.1	XP_002712882.1	NP_001182766.1	N/A	XP_002712845.1	XP_002714069.1	XP_002718849.1	XP_002716560.1	XP_008271659.1	XP_008258376.1	XP_008271165.1	N/A	XP_002710423.1	XP_002724495.1	N/A	XP_002723745.1	N/A	XP_002712872.1
